,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
110342,부산동창오뎅,분식,라면김밥분식,분식 및 김밥 전문점,중동,35.16174074,129.1626971,분식라면김밥분식분식 및 김밥 전문점,중동%20부산동창오뎅,https://m.place.naver.com/restaurant/16577524,"오뎅,꼬치",4.32,99,4,0
82771,모리,일식/수산물,횟집,한식 음식점업,중동,35.16070976,129.1918019,일식 수산물횟집한식 음식점업,중동%20모리,https://m.place.naver.com/restaurant/1641089276,일본식라면,4.65,115,40,0
112044,한상가득,한식,한식/백반/한정식,한식 음식점업,중동,35.16477492,129.1630586,한식한식 백반 한정식한식 음식점업,중동%20한상가득,https://m.place.naver.com/restaurant/57967275,"육류,고기요리",4.47,391,401,0
99117,해운대산곰장어,일식/수산물,민물장어전문,한식 음식점업,중동,35.16116951,129.1621072,일식 수산물민물장어전문한식 음식점업,중동%20해운대산곰장어,https://m.place.naver.com/restaurant/1206044930,"장어,먹장어요리",4.11,157,407,0
87746,새아침맛집,일식/수산물,갈치/생선구이,한식 음식점업,중동,35.15883396,129.1706352,일식 수산물갈치 생선구이한식 음식점업,중동%20새아침맛집,https://m.place.naver.com/restaurant/11846704,생선구이,4.28,704,407,0
115652,지비디,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16873036,129.1716442,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20지비디,https://m.place.naver.com/restaurant/1531053693,카페,4.6,148,411,0
96443,키친,한식,한식/백반/한정식,한식 음식점업,중동,35.16098812,129.1669122,한식한식 백반 한정식한식 음식점업,중동%20키친,https://m.place.naver.com/restaurant/37411506,양식,4.57,132,414,0
12654,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16021589,129.1666048,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1988,42,0
19994,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16604015,129.1674015,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1988,42,0
87541,스타벅스,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,중동,35.16143752,129.1707822,커피점 카페커피전문점 카페 다방비알콜 음료점업,중동%20스타벅스,https://m.place.naver.com/restaurant/1651676104,카페,4.44,1988,42,0
