index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,visitor_review,naver_blog_review_qty,office_review
45,해운대옛날팥빙수.단팥죽,제과제빵떡케익,제과점,제과점업,중동,35.16415432,129.168538,제과제빵떡케익제과점제과점업,중동%20해운대옛날팥빙수.단팥죽,https://m.place.naver.com/restaurant/1299021688,빙수,4.48,614,119,0
46,해운대옛날팥빙수,제과제빵떡케익,제과점,제과점업,중동,35.16415432,129.168538,제과제빵떡케익제과점제과점업,중동%20해운대옛날팥빙수,https://m.place.naver.com/restaurant/1299021688,빙수,4.48,614,119,0
47,해운대옛날팥빙수.단팥죽,한식,한식/백반/한정식,한식 음식점업,중동,35.16283894,129.1656654,한식한식 백반 한정식한식 음식점업,중동%20해운대옛날팥빙수.단팥죽,https://m.place.naver.com/restaurant/1299021688,빙수,4.48,614,119,0
48,복미아구찜,일식/수산물,아구전문,한식 음식점업,중동,35.1690508,129.1701998,일식 수산물아구전문한식 음식점업,중동%20복미아구찜,https://m.place.naver.com/restaurant/19709739,"아귀찜,해물찜",4.22,73,123,0
49,눈꽃을나누다,한식,한정식전문,한식 음식점업,중동,35.16426716,129.1633697,한식한정식전문한식 음식점업,중동%20눈꽃을나누다,https://m.place.naver.com/restaurant/1482376623,한식,4.41,250,128,0
50,미듬,한식,한식/백반/한정식,한식 음식점업,중동,35.16738612,129.1708346,한식한식 백반 한정식한식 음식점업,중동%20미듬,https://m.place.naver.com/restaurant/34661911,한식,4.55,80,128,0
51,삼겹파티,한식,갈비/삼겹살,한식 음식점업,중동,35.16451825,129.163505,한식갈비 삼겹살한식 음식점업,중동%20삼겹파티,https://m.place.naver.com/restaurant/1724389900,돼지고기구이,4.53,110,13,0
52,다다찻집,커피점/카페,전통찻집/인삼찻집,비알콜 음료점업,중동,35.15781533,129.1817828,커피점 카페전통찻집 인삼찻집비알콜 음료점업,중동%20다다찻집,https://m.place.naver.com/restaurant/1509797702,"카페,디저트",4.63,21,13,0
53,맘스터치해운대중동점,패스트푸드,패스트푸드,그외 기타 음식점업,중동,35.16324125,129.1622574,패스트푸드패스트푸드그외 기타 음식점업,중동%20맘스터치해운대중동점,https://m.place.naver.com/restaurant/779343298,"치킨,닭강정",4.4,242,13,0
54,착한횟집,일식/수산물,횟집,한식 음식점업,중동,35.1630223,129.194953,일식 수산물횟집한식 음식점업,중동%20착한횟집,https://m.place.naver.com/restaurant/1221490044,생선회,4.25,289,13,0
